Weighted F1: 0.1922
Average Location Accuracy: 0.0929
Average Location-Category Joint Accuracy: 0.0268

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                           nan             nan 48        
security                              nan             nan 48        
instruction_adherence              0.1120          0.4486 48        
plan_optimization                 -0.1119          0.4488 48        
overall                           -0.0899          0.5433 48        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4667     0.1750     0.2545     40        
Tool-related                             0.3333     0.4444     0.3810     36        
Poor Information Retrieval               0.0000     0.0000     0.0000     21        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     13        
Incorrect Problem Identification         0.1000     0.2143     0.1364     14        
Tool Selection Errors                    0.6000     0.1622     0.2553     37        
Formatting Errors                        0.2593     0.1489     0.1892     47        
Instruction Non-compliance               0.5185     0.2692     0.3544     52        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0800     0.0952     0.0870     21        
Resource Abuse                           0.0238     0.0345     0.0282     29        
Goal Deviation                           0.8462     0.1774     0.2933     62        
Task Orchestration                       0.0000     0.0000     0.0000     35        
