Weighted F1: 0.2085
Average Location Accuracy: 0.1459
Average Location-Category Joint Accuracy: 0.0309

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                           nan             nan 49        
security                              nan             nan 49        
instruction_adherence             -0.0996          0.4961 49        
plan_optimization                  0.0737          0.6149 49        
overall                           -0.0245          0.8672 49        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4286     0.1429     0.2143     42        
Tool-related                             0.3256     0.3784     0.3500     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.0357     0.0588     0.0444     17        
Incorrect Problem Identification         0.0625     0.1000     0.0769     20        
Tool Selection Errors                    0.6000     0.2250     0.3273     40        
Formatting Errors                        0.2727     0.1731     0.2118     52        
Instruction Non-compliance               0.5938     0.3455     0.4368     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.5000     0.2500     0.3333     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0357     0.0370     0.0364     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.8750     0.2090     0.3373     67        
Task Orchestration                       1.0000     0.0256     0.0500     39        
