Weighted F1: 0.2525
Average Location Accuracy: 0.2488
Average Location-Category Joint Accuracy: 0.1101

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6749          0.0000 63        
security                              nan             nan 63        
instruction_adherence              0.3167          0.0115 63        
plan_optimization                  0.2048          0.1074 63        
overall                            0.5445          0.0000 63        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5385     0.3333     0.4118     42        
Tool-related                             0.6250     0.1351     0.2222     37        
Poor Information Retrieval               0.1111     0.0455     0.0645     22        
Tool Output Misinterpretation            0.6667     0.1176     0.2000     17        
Incorrect Problem Identification         0.2222     0.1000     0.1379     20        
Tool Selection Errors                    0.5714     0.1000     0.1702     40        
Formatting Errors                        0.6250     0.0962     0.1667     52        
Instruction Non-compliance               0.5957     0.5091     0.5490     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.6667     0.2222     0.3333     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.2000     0.2500     0.2222     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.5714     0.1333     0.2162     30        
Goal Deviation                           0.6250     0.2239     0.3297     67        
Task Orchestration                       0.4167     0.1282     0.1961     39        
