Weighted F1: 0.2312
Average Location Accuracy: 0.0996
Average Location-Category Joint Accuracy: 0.0313

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6566          0.0000 77        
security                              nan             nan 77        
instruction_adherence              0.2508          0.0278 77        
plan_optimization                  0.4549          0.0000 77        
overall                            0.5478          0.0000 77        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5122     0.5000     0.5060     42        
Tool-related                             0.5000     0.1081     0.1778     37        
Poor Information Retrieval               0.1667     0.0455     0.0714     22        
Tool Output Misinterpretation            0.1000     0.0588     0.0741     17        
Incorrect Problem Identification         0.0833     0.0500     0.0625     20        
Tool Selection Errors                    0.4909     0.6750     0.5684     40        
Formatting Errors                        0.3529     0.1154     0.1739     52        
Instruction Non-compliance               0.6429     0.4909     0.5567     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.7273     0.1194     0.2051     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
