Weighted F1: 0.2524
Average Location Accuracy: 0.0881
Average Location-Category Joint Accuracy: 0.0237

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6215          0.0000 77        
security                              nan             nan 77        
instruction_adherence              0.1844          0.1085 77        
plan_optimization                  0.5498          0.0000 77        
overall                            0.5721          0.0000 77        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5000     0.5714     0.5333     42        
Tool-related                             0.3333     0.0541     0.0930     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.4918     0.7500     0.5941     40        
Formatting Errors                        0.3636     0.0769     0.1270     52        
Instruction Non-compliance               0.5556     0.4545     0.5000     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                1.0000     0.0370     0.0714     27        
Resource Abuse                           0.6667     0.0667     0.1212     30        
Goal Deviation                           0.7273     0.2388     0.3596     67        
Task Orchestration                       0.3000     0.0769     0.1224     39        
