Weighted F1: 0.1683
Average Location Accuracy: 0.1923
Average Location-Category Joint Accuracy: 0.0363

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5865          0.0000 84        
security                              nan             nan 84        
instruction_adherence              0.2815          0.0095 84        
plan_optimization                  0.4056          0.0002 82        
overall                            0.5188          0.0000 83        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4694     0.5476     0.5055     42        
Tool-related                             0.1667     0.0270     0.0465     37        
Poor Information Retrieval               0.1538     0.0909     0.1143     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.1667     0.0500     0.0769     20        
Tool Selection Errors                    0.4500     0.4500     0.4500     40        
Formatting Errors                        0.4286     0.0577     0.1017     52        
Instruction Non-compliance               0.5000     0.0909     0.1538     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1667     0.2500     0.2000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           1.0000     1.0000     1.0000     2         
Context Handling Failures                1.0000     0.0741     0.1379     27        
Resource Abuse                           0.4444     0.1333     0.2051     30        
Goal Deviation                           0.5000     0.0746     0.1299     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
