Weighted F1: 0.1109
Average Location Accuracy: 0.0042
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1310          0.6044 18        
security                              nan             nan 17        
instruction_adherence             -0.2575          0.3185 17        
plan_optimization                 -0.1202          0.6458 17        
overall                           -0.0495          0.8505 17        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3333     0.0714     0.1176     14        
Tool-related                             0.2000     0.2500     0.2222     4         
Poor Information Retrieval               0.2000     0.0909     0.1250     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        1.0000     0.1667     0.2857     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.3333     0.0312     0.0571     32        
Resource Abuse                           0.2857     0.1176     0.1667     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
