Weighted F1: 0.3791
Average Location Accuracy: 0.3738
Average Location-Category Joint Accuracy: 0.1268

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5048          0.0000 117       
security                              nan             nan 117       
instruction_adherence              0.3649          0.0001 117       
plan_optimization                  0.2295          0.0128 117       
overall                            0.4649          0.0000 117       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5217     0.5714     0.5455     42        
Tool-related                             0.5385     0.1892     0.2800     37        
Poor Information Retrieval               0.4828     0.6364     0.5490     22        
Tool Output Misinterpretation            0.2105     0.2353     0.2222     17        
Incorrect Problem Identification         0.2857     0.1000     0.1481     20        
Tool Selection Errors                    0.5556     0.1250     0.2041     40        
Formatting Errors                        0.8889     0.4615     0.6076     52        
Instruction Non-compliance               0.5172     0.5455     0.5310     55        
Tool Definition Issues                   0.2000     0.3333     0.2500     3         
Environment Setup Errors                 0.5000     0.1111     0.1818     9         
Authentication Errors                    0.8000     0.6667     0.7273     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.2500     0.7500     0.3750     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.6087     0.4667     0.5283     30        
Goal Deviation                           0.7200     0.2687     0.3913     67        
Task Orchestration                       0.3125     0.1282     0.1818     39        
