Weighted F1: 0.3092
Average Location Accuracy: 0.0359
Average Location-Category Joint Accuracy: 0.0057

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4503          0.0463 20        
security                              nan             nan 20        
instruction_adherence              0.1769          0.4557 20        
plan_optimization                  0.1990          0.4003 20        
overall                            0.3009          0.1974 20        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.6667     0.1667     0.2667     12        
Tool-related                             0.5000     0.3333     0.4000     3         
Poor Information Retrieval               0.2000     0.2857     0.2353     7         
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.3333     0.1250     0.1818     8         
Formatting Errors                        0.7778     0.2692     0.4000     26        
Instruction Non-compliance               0.8750     0.2917     0.4375     24        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5714     0.1739     0.2667     23        
Resource Abuse                           0.4444     0.3077     0.3636     13        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     4         
