Weighted F1: 0.4019
Average Location Accuracy: 0.2991
Average Location-Category Joint Accuracy: 0.1236

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5522          0.0000 110       
security                              nan             nan 110       
instruction_adherence              0.3380          0.0003 110       
plan_optimization                  0.3969          0.0000 110       
overall                            0.4594          0.0000 110       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4583     0.7857     0.5789     42        
Tool-related                             0.4286     0.2432     0.3103     37        
Poor Information Retrieval               0.6250     0.6818     0.6522     22        
Tool Output Misinterpretation            0.2632     0.2941     0.2778     17        
Incorrect Problem Identification         0.2222     0.3000     0.2553     20        
Tool Selection Errors                    0.2667     0.1000     0.1455     40        
Formatting Errors                        0.7353     0.4808     0.5814     52        
Instruction Non-compliance               0.6000     0.1091     0.1846     55        
Tool Definition Issues                   0.2500     0.3333     0.2857     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.8000     0.6667     0.7273     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.4286     0.7500     0.5455     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.4444     0.2963     0.3556     27        
Resource Abuse                           0.6279     0.9000     0.7397     30        
Goal Deviation                           0.7069     0.6119     0.6560     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
