Weighted F1: 0.2831
Average Location Accuracy: 0.3031
Average Location-Category Joint Accuracy: 0.1116

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.0640          0.5829 76        
security                              nan             nan 76        
instruction_adherence             -0.0210          0.8573 76        
plan_optimization                  0.0304          0.7942 76        
overall                            0.0890          0.4445 76        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4286     0.2143     0.2857     42        
Tool-related                             0.3108     0.6216     0.4144     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.1429     0.0588     0.0833     17        
Incorrect Problem Identification         0.1000     0.3500     0.1556     20        
Tool Selection Errors                    0.3774     0.5000     0.4301     40        
Formatting Errors                        0.2391     0.2115     0.2245     52        
Instruction Non-compliance               0.6316     0.4364     0.5161     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1250     0.2500     0.1667     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1667     0.0741     0.1026     27        
Resource Abuse                           0.0685     0.1667     0.0971     30        
Goal Deviation                           0.6415     0.5075     0.5667     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
