Weighted F1: 0.2925
Average Location Accuracy: 0.2599
Average Location-Category Joint Accuracy: 0.0875

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3103          0.0075 73        
security                              nan             nan 73        
instruction_adherence              0.1104          0.3525 73        
plan_optimization                  0.1665          0.1591 73        
overall                            0.1841          0.1190 73        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5455     0.2857     0.3750     42        
Tool-related                             0.3194     0.6216     0.4220     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.2222     0.1176     0.1538     17        
Incorrect Problem Identification         0.0845     0.3000     0.1319     20        
Tool Selection Errors                    0.4833     0.7250     0.5800     40        
Formatting Errors                        0.2778     0.1923     0.2273     52        
Instruction Non-compliance               0.5588     0.3455     0.4270     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1667     0.2500     0.2000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0580     0.1333     0.0808     30        
Goal Deviation                           0.7059     0.5373     0.6102     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
