Weighted F1: 0.3313
Average Location Accuracy: 0.3405
Average Location-Category Joint Accuracy: 0.1411

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1754          0.1655 64        
security                              nan             nan 64        
instruction_adherence              0.1402          0.2693 64        
plan_optimization                  0.3018          0.0154 64        
overall                            0.2385          0.0577 64        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4151     0.6471     0.5057     34        
Tool-related                             0.3594     0.6765     0.4694     34        
Poor Information Retrieval               0.0435     0.0588     0.0500     17        
Tool Output Misinterpretation            0.0213     0.0667     0.0323     15        
Incorrect Problem Identification         0.1207     0.3889     0.1842     18        
Tool Selection Errors                    0.4118     0.6562     0.5060     32        
Formatting Errors                        0.3030     0.2000     0.2410     50        
Instruction Non-compliance               0.6071     0.4146     0.4928     41        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1250     0.2500     0.1667     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.1667     0.2308     0.1935     26        
Resource Abuse                           0.0625     0.1600     0.0899     25        
Goal Deviation                           0.6552     0.6909     0.6726     55        
Task Orchestration                       0.0000     0.0000     0.0000     30        
