Weighted F1: 0.1245
Average Location Accuracy: 0.0472
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4416          0.0759 17        
security                              nan             nan 17        
instruction_adherence             -0.0166          0.9496 17        
plan_optimization                  0.0074          0.9775 17        
overall                            0.1037          0.6920 17        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.1111     0.2500     0.1538     4         
Poor Information Retrieval               0.3333     0.0909     0.1429     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.3000     0.3333     0.3158     9         
Formatting Errors                        0.7143     0.1389     0.2326     36        
Instruction Non-compliance               0.6667     0.0588     0.1081     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.3750     0.1765     0.2400     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
