Weighted F1: 0.1661
Average Location Accuracy: 0.1872
Average Location-Category Joint Accuracy: 0.0313

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1208          0.7236 11        
security                              nan             nan 11        
instruction_adherence             -0.3032          0.3647 11        
plan_optimization                 -0.3772          0.2528 11        
overall                           -0.2131          0.5293 11        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     6         
Tool-related                             0.0000     0.0000     0.0000     2         
Poor Information Retrieval               0.0000     0.0000     0.0000     8         
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     4         
Formatting Errors                        1.0000     0.1667     0.2857     18        
Instruction Non-compliance               0.8333     0.2941     0.4348     17        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     15        
Resource Abuse                           0.2222     0.2857     0.2500     7         
Goal Deviation                           0.0000     0.0000     0.0000     2         
Task Orchestration                       0.0000     0.0000     0.0000     3         
