Weighted F1: 0.2370
Average Location Accuracy: 0.1445
Average Location-Category Joint Accuracy: 0.0141

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.0699          0.5153 89        
security                              nan             nan 89        
instruction_adherence             -0.0054          0.9596 89        
plan_optimization                  0.0352          0.7436 89        
overall                            0.0838          0.4348 89        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5312     0.4048     0.4595     42        
Tool-related                             0.2000     0.0541     0.0851     37        
Poor Information Retrieval               0.5000     0.0455     0.0833     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.1064     0.2500     0.1493     20        
Tool Selection Errors                    0.3605     0.7750     0.4921     40        
Formatting Errors                        0.3095     0.2500     0.2766     52        
Instruction Non-compliance               0.5714     0.0727     0.1290     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.2000     0.0370     0.0625     27        
Resource Abuse                           0.0625     0.0667     0.0645     30        
Goal Deviation                           0.5915     0.6269     0.6087     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
