Weighted F1: 0.2530
Average Location Accuracy: 0.1100
Average Location-Category Joint Accuracy: 0.0133

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3657          0.0005 87        
security                              nan             nan 87        
instruction_adherence              0.1380          0.2025 87        
plan_optimization                  0.2702          0.0114 87        
overall                            0.3100          0.0035 87        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4737     0.4286     0.4500     42        
Tool-related                             0.5833     0.1892     0.2857     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.1250     0.1176     0.1212     17        
Incorrect Problem Identification         0.1455     0.4000     0.2133     20        
Tool Selection Errors                    0.3537     0.7250     0.4754     40        
Formatting Errors                        0.5000     0.1923     0.2778     52        
Instruction Non-compliance               0.8333     0.0909     0.1639     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0800     0.0667     0.0727     30        
Goal Deviation                           0.6491     0.5522     0.5968     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
