Weighted F1: 0.1625
Average Location Accuracy: 0.0179
Average Location-Category Joint Accuracy: 0.0033

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2836          0.0074 88        
security                              nan             nan 88        
instruction_adherence              0.2514          0.0182 88        
plan_optimization                  0.0165          0.8790 88        
overall                            0.2644          0.0128 88        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3864     0.4048     0.3953     42        
Tool-related                             0.0000     0.0000     0.0000     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.3333     0.1765     0.2308     17        
Incorrect Problem Identification         0.0577     0.1500     0.0833     20        
Tool Selection Errors                    0.3718     0.7250     0.4915     40        
Formatting Errors                        0.7500     0.0577     0.1071     52        
Instruction Non-compliance               0.6296     0.3091     0.4146     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.3333     0.0370     0.0667     27        
Resource Abuse                           0.3333     0.0667     0.1111     30        
Goal Deviation                           0.0000     0.0000     0.0000     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
