Weighted F1: 0.2000
Average Location Accuracy: 0.0174
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4447          0.0564 19        
security                              nan             nan 19        
instruction_adherence              0.1826          0.4543 19        
plan_optimization                  0.3769          0.1117 19        
overall                            0.1435          0.5579 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.5000     0.1818     0.2667     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.1667     0.2222     0.1905     9         
Formatting Errors                        0.8235     0.3889     0.5283     36        
Instruction Non-compliance               0.7143     0.1471     0.2439     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.2500     0.0588     0.0952     17        
Goal Deviation                           0.0909     0.3333     0.1429     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
