Weighted F1: 0.1873
Average Location Accuracy: 0.0745
Average Location-Category Joint Accuracy: 0.0245

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6140          0.0000 90        
security                              nan             nan 90        
instruction_adherence              0.2723          0.0094 90        
plan_optimization                  0.3240          0.0018 90        
overall                            0.5315          0.0000 90        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4667     0.3333     0.3889     42        
Tool-related                             0.7500     0.1622     0.2667     37        
Poor Information Retrieval               1.0000     0.0455     0.0870     22        
Tool Output Misinterpretation            0.0833     0.0588     0.0690     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.2143     0.0750     0.1111     40        
Formatting Errors                        0.6667     0.0385     0.0727     52        
Instruction Non-compliance               0.5373     0.6545     0.5902     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1111     0.2500     0.1538     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.3077     0.2667     0.2857     30        
Goal Deviation                           0.6667     0.0597     0.1096     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
