Weighted F1: 0.1672
Average Location Accuracy: 0.0419
Average Location-Category Joint Accuracy: 0.0133

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3692          0.1198 19        
security                              nan             nan 19        
instruction_adherence             -0.3812          0.1073 19        
plan_optimization                  0.0775          0.7524 19        
overall                           -0.0562          0.8193 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.5000     0.1818     0.2667     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        0.7500     0.0833     0.1500     36        
Instruction Non-compliance               0.7273     0.2353     0.3556     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.4706     0.4706     0.4706     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
