Weighted F1: 0.1920
Average Location Accuracy: 0.0486
Average Location-Category Joint Accuracy: 0.0018

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1591          0.5152 19        
security                              nan             nan 19        
instruction_adherence             -0.3382          0.1567 19        
plan_optimization                  0.0607          0.8052 19        
overall                           -0.0674          0.7839 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.6000     0.2727     0.3750     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.3333     0.1111     0.1667     9         
Formatting Errors                        0.8889     0.2222     0.3556     36        
Instruction Non-compliance               0.6923     0.2647     0.3830     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.5000     0.3333     0.4000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
