Weighted F1: 0.2208
Average Location Accuracy: 0.0258
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3311          0.1662 19        
security                              nan             nan 19        
instruction_adherence             -0.0940          0.7019 19        
plan_optimization                  0.1780          0.4660 19        
overall                            0.1876          0.4419 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               1.0000     0.1818     0.3077     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.5000     0.1111     0.1818     9         
Formatting Errors                        0.8750     0.1944     0.3182     36        
Instruction Non-compliance               0.6923     0.2647     0.3830     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                1.0000     0.0312     0.0606     32        
Resource Abuse                           1.0000     0.1765     0.3000     17        
Goal Deviation                           0.3333     0.3333     0.3333     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
