Weighted F1: 0.2017
Average Location Accuracy: 0.1103
Average Location-Category Joint Accuracy: 0.0309

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.7137          0.0000 86        
security                              nan             nan 86        
instruction_adherence              0.3424          0.0013 86        
plan_optimization                  0.5107          0.0000 86        
overall                            0.5834          0.0000 86        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5152     0.4048     0.4533     42        
Tool-related                             0.3333     0.1351     0.1923     37        
Poor Information Retrieval               0.3333     0.0909     0.1429     22        
Tool Output Misinterpretation            0.3333     0.0588     0.1000     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.4524     0.4750     0.4634     40        
Formatting Errors                        0.2857     0.1154     0.1644     52        
Instruction Non-compliance               0.6538     0.3091     0.4198     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1250     0.2500     0.1667     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.7000     0.1045     0.1818     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
