Weighted F1: 0.2328
Average Location Accuracy: 0.0629
Average Location-Category Joint Accuracy: 0.0261

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6752          0.0000 73        
security                              nan             nan 73        
instruction_adherence              0.3302          0.0043 73        
plan_optimization                  0.4406          0.0001 73        
overall                            0.5653          0.0000 73        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4286     0.3571     0.3896     42        
Tool-related                             0.0000     0.0000     0.0000     37        
Poor Information Retrieval               0.1250     0.0909     0.1053     22        
Tool Output Misinterpretation            0.4286     0.1765     0.2500     17        
Incorrect Problem Identification         0.1429     0.0500     0.0741     20        
Tool Selection Errors                    0.5294     0.6750     0.5934     40        
Formatting Errors                        0.5000     0.0769     0.1333     52        
Instruction Non-compliance               0.5455     0.4364     0.4848     55        
Tool Definition Issues                   0.2500     0.3333     0.2857     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.5000     0.5000     0.5000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.8235     0.2090     0.3333     67        
Task Orchestration                       0.3333     0.0769     0.1250     39        
