Weighted F1: 0.3171
Average Location Accuracy: 0.2729
Average Location-Category Joint Accuracy: 0.0965

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1501          0.1840 80        
security                              nan             nan 80        
instruction_adherence              0.1262          0.2648 80        
plan_optimization                  0.0737          0.5156 80        
overall                            0.1178          0.2981 80        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5556     0.2381     0.3333     42        
Tool-related                             0.3333     0.5946     0.4272     37        
Poor Information Retrieval               0.1667     0.0455     0.0714     22        
Tool Output Misinterpretation            0.1000     0.1176     0.1081     17        
Incorrect Problem Identification         0.1053     0.4000     0.1667     20        
Tool Selection Errors                    0.4138     0.6000     0.4898     40        
Formatting Errors                        0.3571     0.1923     0.2500     52        
Instruction Non-compliance               0.5278     0.3455     0.4176     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1429     0.2500     0.1818     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1136     0.1852     0.1408     27        
Resource Abuse                           0.0500     0.1333     0.0727     30        
Goal Deviation                           0.6415     0.5075     0.5667     67        
Task Orchestration                       0.3250     0.3333     0.3291     39        
