Weighted F1: 0.0907
Average Location Accuracy: 0.0375
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1625          0.6538 10        
security                              nan             nan 10        
instruction_adherence             -0.3128          0.3788 10        
plan_optimization                 -0.3656          0.2988 10        
overall                           -0.1471          0.6850 10        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.1667     1.0000     0.2857     1         
Incorrect Problem Identification         0.3333     0.1111     0.1667     9         
Formatting Errors                        1.0000     0.0278     0.0541     36        
Instruction Non-compliance               1.0000     0.0882     0.1622     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5000     0.0625     0.1111     32        
Resource Abuse                           0.2222     0.1176     0.1538     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
