Weighted F1: 0.0858
Average Location Accuracy: 0.0083
Average Location-Category Joint Accuracy: 0.0021

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        1.0000          0.0000 6         
security                              nan             nan 6         
instruction_adherence              0.0000          1.0000 6         
plan_optimization                  0.3015          0.5614 6         
overall                            0.7456          0.0888 6         

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.3333     0.2500     0.2857     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.5000     0.1111     0.1818     9         
Formatting Errors                        1.0000     0.0278     0.0541     36        
Instruction Non-compliance               0.6667     0.0588     0.1081     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.8000     0.2353     0.3636     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
