Weighted F1: 0.2253
Average Location Accuracy: 0.0543
Average Location-Category Joint Accuracy: 0.0100

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2156          0.0425 89        
security                              nan             nan 89        
instruction_adherence              0.1639          0.1248 89        
plan_optimization                  0.0388          0.7179 89        
overall                            0.2167          0.0414 89        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5294     0.4286     0.4737     42        
Tool-related                             0.3000     0.0811     0.1277     37        
Poor Information Retrieval               0.1818     0.1818     0.1818     22        
Tool Output Misinterpretation            0.1875     0.1765     0.1818     17        
Incorrect Problem Identification         0.1029     0.3500     0.1591     20        
Tool Selection Errors                    0.3721     0.8000     0.5079     40        
Formatting Errors                        0.2766     0.2500     0.2626     52        
Instruction Non-compliance               0.5385     0.1273     0.2059     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 1.0000     0.1111     0.2000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0870     0.0667     0.0755     30        
Goal Deviation                           0.5000     0.2388     0.3232     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
