Weighted F1: 0.2672
Average Location Accuracy: 0.2224
Average Location-Category Joint Accuracy: 0.0745

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6491          0.0000 89        
security                              nan             nan 89        
instruction_adherence              0.2959          0.0049 89        
plan_optimization                  0.5683          0.0000 89        
overall                            0.6057          0.0000 89        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4231     0.5238     0.4681     42        
Tool-related                             0.4000     0.0541     0.0952     37        
Poor Information Retrieval               0.3000     0.1364     0.1875     22        
Tool Output Misinterpretation            0.3077     0.2353     0.2667     17        
Incorrect Problem Identification         0.3000     0.1500     0.2000     20        
Tool Selection Errors                    0.4051     0.8000     0.5378     40        
Formatting Errors                        0.3571     0.0962     0.1515     52        
Instruction Non-compliance               0.5873     0.6727     0.6271     55        
Tool Definition Issues                   0.2000     0.3333     0.2500     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1429     0.2500     0.1818     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.4286     0.1000     0.1622     30        
Goal Deviation                           0.7059     0.1791     0.2857     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
