Weighted F1: 0.2546
Average Location Accuracy: 0.1716
Average Location-Category Joint Accuracy: 0.0597

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5262          0.0000 86        
security                              nan             nan 86        
instruction_adherence              0.2245          0.0377 86        
plan_optimization                  0.4223          0.0001 86        
overall                            0.4931          0.0000 87        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4510     0.5476     0.4946     42        
Tool-related                             0.4000     0.0541     0.0952     37        
Poor Information Retrieval               0.2500     0.1818     0.2105     22        
Tool Output Misinterpretation            0.2500     0.1176     0.1600     17        
Incorrect Problem Identification         0.2500     0.0500     0.0833     20        
Tool Selection Errors                    0.3721     0.4000     0.3855     40        
Formatting Errors                        0.5000     0.0769     0.1333     52        
Instruction Non-compliance               0.6667     0.1091     0.1875     55        
Tool Definition Issues                   0.3333     0.3333     0.3333     3         
Environment Setup Errors                 0.5714     0.4444     0.5000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.3333     0.0370     0.0667     27        
Resource Abuse                           0.1250     0.0333     0.0526     30        
Goal Deviation                           0.7353     0.3731     0.4950     67        
Task Orchestration                       0.5385     0.1795     0.2692     39        
