Weighted F1: 0.1320
Average Location Accuracy: 0.0042
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4770          0.0529 17        
security                              nan             nan 17        
instruction_adherence             -0.2177          0.4014 17        
plan_optimization                  0.4071          0.1048 17        
overall                            0.4860          0.0563 16        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5000     0.0714     0.1250     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.2000     0.0909     0.1250     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         1.0000     0.1111     0.2000     9         
Formatting Errors                        0.8000     0.1111     0.1951     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.8000     0.1250     0.2162     32        
Resource Abuse                           1.0000     0.1176     0.2105     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
