Weighted F1: 0.4062
Average Location Accuracy: 0.2599
Average Location-Category Joint Accuracy: 0.1281

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6699          0.0000 90        
security                              nan             nan 90        
instruction_adherence              0.1827          0.0848 90        
plan_optimization                  0.5404          0.0000 90        
overall                            0.6035          0.0000 90        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4167     0.5952     0.4902     42        
Tool-related                             0.3750     0.1622     0.2264     37        
Poor Information Retrieval               0.1765     0.2727     0.2143     22        
Tool Output Misinterpretation            0.2368     0.5294     0.3273     17        
Incorrect Problem Identification         0.2414     0.3500     0.2857     20        
Tool Selection Errors                    0.4026     0.7750     0.5299     40        
Formatting Errors                        0.3000     0.1731     0.2195     52        
Instruction Non-compliance               0.5672     0.6909     0.6230     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1111     0.2500     0.1538     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.2188     0.2593     0.2373     27        
Resource Abuse                           0.3214     0.3000     0.3103     30        
Goal Deviation                           0.6769     0.6567     0.6667     67        
Task Orchestration                       0.3871     0.6154     0.4752     39        
