Weighted F1: 0.3399
Average Location Accuracy: 0.2815
Average Location-Category Joint Accuracy: 0.1105

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.0824          0.5108 66        
security                              nan             nan 66        
instruction_adherence              0.0647          0.6055 66        
plan_optimization                  0.1383          0.2681 66        
overall                            0.0426          0.7340 66        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4054     0.3571     0.3797     42        
Tool-related                             0.3571     0.5405     0.4301     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.0847     0.2941     0.1316     17        
Incorrect Problem Identification         0.1207     0.3500     0.1795     20        
Tool Selection Errors                    0.4074     0.5500     0.4681     40        
Formatting Errors                        0.2564     0.1923     0.2198     52        
Instruction Non-compliance               0.5227     0.4182     0.4646     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1429     0.2500     0.1818     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1163     0.1852     0.1429     27        
Resource Abuse                           0.0909     0.2000     0.1250     30        
Goal Deviation                           0.6607     0.5522     0.6016     67        
Task Orchestration                       0.4500     0.4615     0.4557     39        
