Weighted F1: 0.2113
Average Location Accuracy: 0.0042
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2045          0.4157 18        
security                              nan             nan 18        
instruction_adherence              0.1467          0.5612 18        
plan_optimization                  0.2535          0.3101 18        
overall                            0.1449          0.5661 18        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.5000     0.0909     0.1538     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2500     0.1111     0.1538     9         
Formatting Errors                        1.0000     0.2222     0.3636     36        
Instruction Non-compliance               0.8571     0.1765     0.2927     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.7500     0.0938     0.1667     32        
Resource Abuse                           0.3333     0.1765     0.2308     17        
Goal Deviation                           0.1250     0.3333     0.1818     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
