Weighted F1: 0.1912
Average Location Accuracy: 0.0000
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1004          0.7562 12        
security                              nan             nan 12        
instruction_adherence              0.2133          0.5057 12        
plan_optimization                  0.2868          0.3662 12        
overall                            0.1577          0.6246 12        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.3333     0.2500     0.2857     4         
Poor Information Retrieval               0.2500     0.1818     0.2105     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2000     0.1111     0.1429     9         
Formatting Errors                        0.7500     0.0833     0.1500     36        
Instruction Non-compliance               0.7500     0.1765     0.2857     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.6667     0.1250     0.2105     32        
Resource Abuse                           0.6667     0.2353     0.3478     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
