Weighted F1: 0.1455
Average Location Accuracy: 0.0333
Average Location-Category Joint Accuracy: 0.0056

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4000          0.2521 10        
security                              nan             nan 10        
instruction_adherence              0.3727          0.2889 10        
plan_optimization                  0.4364          0.2073 10        
overall                            0.4209          0.2257 10        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.1429     0.2500     0.1818     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.5000     0.1111     0.1818     9         
Formatting Errors                        1.0000     0.0833     0.1538     36        
Instruction Non-compliance               0.8000     0.1176     0.2051     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5000     0.0625     0.1111     32        
Resource Abuse                           0.5000     0.2941     0.3704     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
