Weighted F1: 0.1956
Average Location Accuracy: 0.0042
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2920          0.3330 13        
security                              nan             nan 13        
instruction_adherence             -0.1426          0.6421 13        
plan_optimization                  0.2094          0.4924 13        
overall                            0.1545          0.6142 13        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.5000     0.2500     0.3333     4         
Poor Information Retrieval               0.1667     0.0909     0.1176     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        0.8333     0.1389     0.2381     36        
Instruction Non-compliance               0.7500     0.1765     0.2857     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.8000     0.1250     0.2162     32        
Resource Abuse                           0.4000     0.1176     0.1818     17        
Goal Deviation                           0.3333     0.3333     0.3333     3         
Task Orchestration                       0.3333     0.1667     0.2222     6         
