Weighted F1: 0.3727
Average Location Accuracy: 0.0000
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5481          0.0037 26        
security                              nan             nan 26        
instruction_adherence              0.4612          0.0177 26        
plan_optimization                  0.3646          0.0671 26        
overall                            0.5188          0.0066 26        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5000     0.1429     0.2222     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.3636     0.7273     0.4848     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.1429     0.1111     0.1250     9         
Formatting Errors                        0.8333     0.4167     0.5556     36        
Instruction Non-compliance               1.0000     0.0588     0.1111     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.7917     0.5938     0.6786     32        
Resource Abuse                           0.4167     0.5882     0.4878     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
