Weighted F1: 0.2126
Average Location Accuracy: 0.1120
Average Location-Category Joint Accuracy: 0.0073

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3054          0.0040 87        
security                              nan             nan 87        
instruction_adherence              0.1322          0.2223 87        
plan_optimization                  0.0325          0.7652 87        
overall                            0.1896          0.0786 87        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5250     0.5000     0.5122     42        
Tool-related                             0.5000     0.0270     0.0513     37        
Poor Information Retrieval               0.5000     0.1364     0.2143     22        
Tool Output Misinterpretation            0.0968     0.1765     0.1250     17        
Incorrect Problem Identification         0.1176     0.4000     0.1818     20        
Tool Selection Errors                    0.3030     0.5000     0.3774     40        
Formatting Errors                        0.3704     0.1923     0.2532     52        
Instruction Non-compliance               0.6667     0.1091     0.1875     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 1.0000     0.1111     0.2000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.3333     0.0370     0.0667     27        
Resource Abuse                           0.1176     0.0667     0.0851     30        
Goal Deviation                           0.5714     0.2388     0.3368     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
