Weighted F1: 0.1541
Average Location Accuracy: 0.0147
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5185          0.0275 18        
security                              nan             nan 18        
instruction_adherence              0.3081          0.2135 18        
plan_optimization                  0.5506          0.0179 18        
overall                            0.3988          0.1012 18        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.2000     0.0909     0.1250     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.3000     0.3333     0.3158     9         
Formatting Errors                        0.8333     0.2778     0.4167     36        
Instruction Non-compliance               0.7500     0.0882     0.1579     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.2500     0.0588     0.0952     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
