Weighted F1: 0.3007
Average Location Accuracy: 0.0160
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1621          0.5073 19        
security                              nan             nan 19        
instruction_adherence              0.1189          0.6277 19        
plan_optimization                 -0.0868          0.7237 19        
overall                            0.0656          0.7896 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.4167     0.4545     0.4348     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.3750     0.3333     0.3529     9         
Formatting Errors                        0.6667     0.1667     0.2667     36        
Instruction Non-compliance               0.7333     0.3235     0.4490     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5385     0.2188     0.3111     32        
Resource Abuse                           0.4118     0.4118     0.4118     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.3333     0.1667     0.2222     6         
