Weighted F1: 0.3328
Average Location Accuracy: 0.1228
Average Location-Category Joint Accuracy: 0.0409

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5883          0.0000 81        
security                              nan             nan 79        
instruction_adherence              0.3100          0.0049 81        
plan_optimization                  0.4015          0.0002 81        
overall                            0.4958          0.0000 81        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3043     0.1667     0.2154     42        
Tool-related                             0.5000     0.0541     0.0976     37        
Poor Information Retrieval               0.1333     0.1818     0.1538     22        
Tool Output Misinterpretation            0.6000     0.1765     0.2727     17        
Incorrect Problem Identification         0.1667     0.1000     0.1250     20        
Tool Selection Errors                    0.4828     0.7000     0.5714     40        
Formatting Errors                        0.4375     0.1346     0.2059     52        
Instruction Non-compliance               0.6522     0.5455     0.5941     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1667     0.0370     0.0606     27        
Resource Abuse                           0.3077     0.1333     0.1860     30        
Goal Deviation                           0.7826     0.5373     0.6372     67        
Task Orchestration                       0.4706     0.4103     0.4384     39        
