Weighted F1: 0.3026
Average Location Accuracy: 0.2381
Average Location-Category Joint Accuracy: 0.0740

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6134          0.0000 117       
security                              nan             nan 117       
instruction_adherence              0.3364          0.0002 117       
plan_optimization                  0.4222          0.0000 117       
overall                            0.5175          0.0000 117       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3846     0.1190     0.1818     42        
Tool-related                             0.4107     0.6216     0.4946     37        
Poor Information Retrieval               0.6250     0.4545     0.5263     22        
Tool Output Misinterpretation            0.1250     0.1176     0.1212     17        
Incorrect Problem Identification         0.1429     0.0500     0.0741     20        
Tool Selection Errors                    0.5000     0.1500     0.2308     40        
Formatting Errors                        0.8750     0.1346     0.2333     52        
Instruction Non-compliance               0.5556     0.2727     0.3659     55        
Tool Definition Issues                   0.1667     0.3333     0.2222     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.6667     0.3333     0.4444     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1818     0.5000     0.2667     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1667     0.0370     0.0606     27        
Resource Abuse                           0.6296     0.5667     0.5965     30        
Goal Deviation                           0.6522     0.4478     0.5310     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
