Weighted F1: 0.2191
Average Location Accuracy: 0.0179
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3277          0.0827 29        
security                              nan             nan 29        
instruction_adherence             -0.0216          0.9115 29        
plan_optimization                  0.2532          0.1850 29        
overall                            0.1796          0.3511 29        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.7500     0.2143     0.3333     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.2222     0.1818     0.2000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        0.8000     0.1111     0.1951     36        
Instruction Non-compliance               0.8000     0.1176     0.2051     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.8571     0.1875     0.3077     32        
Resource Abuse                           0.5556     0.2941     0.3846     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
