Weighted F1: 0.3897
Average Location Accuracy: 0.1658
Average Location-Category Joint Accuracy: 0.0201

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3756          0.0536 27        
security                              nan             nan 27        
instruction_adherence              0.2201          0.2699 27        
plan_optimization                  0.2098          0.2935 27        
overall                            0.3008          0.1273 27        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4286     0.2143     0.2857     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.3043     0.6364     0.4118     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2857     0.2222     0.2500     9         
Formatting Errors                        0.8500     0.4722     0.6071     36        
Instruction Non-compliance               0.7500     0.0882     0.1579     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.7308     0.5938     0.6552     32        
Resource Abuse                           0.3600     0.5294     0.4286     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
