Weighted F1: 0.1010
Average Location Accuracy: 0.0031
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3514          0.1666 17        
security                              nan             nan 17        
instruction_adherence              0.1063          0.6848 17        
plan_optimization                  0.3910          0.1207 17        
overall                            0.3284          0.1981 17        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5000     0.1429     0.2222     14        
Tool-related                             0.2500     0.2500     0.2500     4         
Poor Information Retrieval               0.3333     0.1818     0.2353     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        1.0000     0.0556     0.1053     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.3333     0.0312     0.0571     32        
Resource Abuse                           0.7500     0.1765     0.2857     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
