Weighted F1: 0.1509
Average Location Accuracy: 0.0147
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4107          0.0807 19        
security                              nan             nan 19        
instruction_adherence              0.0748          0.7610 19        
plan_optimization                  0.3020          0.2089 19        
overall                            0.1662          0.4964 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.3333     1.0000     0.5000     1         
Incorrect Problem Identification         0.1667     0.1111     0.1333     9         
Formatting Errors                        1.0000     0.0833     0.1538     36        
Instruction Non-compliance               1.0000     0.2059     0.3415     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.4615     0.3529     0.4000     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
