Weighted F1: 0.3557
Average Location Accuracy: 0.2172
Average Location-Category Joint Accuracy: 0.0693

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6092          0.0000 90        
security                              nan             nan 90        
instruction_adherence              0.1460          0.1698 90        
plan_optimization                  0.3990          0.0001 90        
overall                            0.5161          0.0000 90        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4643     0.6190     0.5306     42        
Tool-related                             0.4545     0.1351     0.2083     37        
Poor Information Retrieval               0.2222     0.1818     0.2000     22        
Tool Output Misinterpretation            0.1935     0.3529     0.2500     17        
Incorrect Problem Identification         0.2500     0.2000     0.2222     20        
Tool Selection Errors                    0.3947     0.7500     0.5172     40        
Formatting Errors                        0.4375     0.1346     0.2059     52        
Instruction Non-compliance               0.5735     0.7091     0.6341     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    1.0000     0.1667     0.2857     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.2500     0.2593     0.2545     27        
Resource Abuse                           0.2105     0.2667     0.2353     30        
Goal Deviation                           0.7660     0.5373     0.6316     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
