Weighted F1: 0.2607
Average Location Accuracy: 0.2693
Average Location-Category Joint Accuracy: 0.1019

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4128          0.0004 69        
security                              nan             nan 69        
instruction_adherence              0.2109          0.0819 69        
plan_optimization                  0.2845          0.0178 69        
overall                            0.3255          0.0064 69        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4545     0.2381     0.3125     42        
Tool-related                             0.3860     0.5946     0.4681     37        
Poor Information Retrieval               0.1000     0.0455     0.0625     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.0769     0.2000     0.1111     20        
Tool Selection Errors                    0.3800     0.4750     0.4222     40        
Formatting Errors                        0.2857     0.0769     0.1212     52        
Instruction Non-compliance               0.5676     0.3818     0.4565     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0192     0.2500     0.0357     4         
Resource Exhaustion                      0.6667     1.0000     0.8000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1282     0.1852     0.1515     27        
Resource Abuse                           0.0725     0.1667     0.1010     30        
Goal Deviation                           0.6667     0.3881     0.4906     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
