Weighted F1: 0.2517
Average Location Accuracy: 0.1212
Average Location-Category Joint Accuracy: 0.0426

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6182          0.0000 76        
security                              nan             nan 76        
instruction_adherence              0.3616          0.0013 76        
plan_optimization                  0.4841          0.0000 76        
overall                            0.5836          0.0000 76        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3125     0.1190     0.1724     42        
Tool-related                             0.6667     0.1081     0.1860     37        
Poor Information Retrieval               0.1379     0.1818     0.1569     22        
Tool Output Misinterpretation            0.3750     0.1765     0.2400     17        
Incorrect Problem Identification         0.0769     0.0500     0.0606     20        
Tool Selection Errors                    0.4902     0.6250     0.5495     40        
Formatting Errors                        0.3636     0.0769     0.1270     52        
Instruction Non-compliance               0.5870     0.4909     0.5347     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    1.0000     0.1667     0.2857     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1667     0.2500     0.2000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.1333     0.0667     0.0889     30        
Goal Deviation                           0.7692     0.2985     0.4301     67        
Task Orchestration                       0.5000     0.0513     0.0930     39        
