Weighted F1: 0.1892
Average Location Accuracy: 0.0432
Average Location-Category Joint Accuracy: 0.0013

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1610          0.1316 89        
security                              nan             nan 89        
instruction_adherence              0.1108          0.3015 89        
plan_optimization                  0.1006          0.3481 89        
overall                            0.1149          0.2836 89        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5333     0.3810     0.4444     42        
Tool-related                             0.0000     0.0000     0.0000     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.2727     0.3529     0.3077     17        
Incorrect Problem Identification         0.1299     0.5000     0.2062     20        
Tool Selection Errors                    0.3690     0.7750     0.5000     40        
Formatting Errors                        0.2787     0.3269     0.3009     52        
Instruction Non-compliance               0.4286     0.0545     0.0968     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0392     0.0667     0.0494     30        
Goal Deviation                           0.5714     0.1791     0.2727     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
