Weighted F1: 0.2924
Average Location Accuracy: 0.2089
Average Location-Category Joint Accuracy: 0.0636

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6547          0.0000 90        
security                              nan             nan 90        
instruction_adherence              0.3828          0.0002 90        
plan_optimization                  0.3786          0.0002 90        
overall                            0.5825          0.0000 90        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4565     0.5000     0.4773     42        
Tool-related                             0.1667     0.0270     0.0465     37        
Poor Information Retrieval               0.2222     0.0909     0.1290     22        
Tool Output Misinterpretation            0.2000     0.2941     0.2381     17        
Incorrect Problem Identification         0.2667     0.2000     0.2286     20        
Tool Selection Errors                    0.4079     0.7750     0.5345     40        
Formatting Errors                        0.3846     0.1923     0.2564     52        
Instruction Non-compliance               0.5000     0.5455     0.5217     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1429     0.2500     0.1818     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.5455     0.2000     0.2927     30        
Goal Deviation                           0.7857     0.3284     0.4632     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
