Weighted F1: 0.2933
Average Location Accuracy: 0.2795
Average Location-Category Joint Accuracy: 0.0868

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1949          0.0915 76        
security                              nan             nan 76        
instruction_adherence              0.0352          0.7629 76        
plan_optimization                  0.2533          0.0273 76        
overall                            0.1670          0.1493 76        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4706     0.1905     0.2712     42        
Tool-related                             0.3492     0.5946     0.4400     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.1053     0.1176     0.1111     17        
Incorrect Problem Identification         0.1286     0.4500     0.2000     20        
Tool Selection Errors                    0.4182     0.5750     0.4842     40        
Formatting Errors                        0.2059     0.1346     0.1628     52        
Instruction Non-compliance               0.5152     0.3091     0.3864     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1250     0.2500     0.1667     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1111     0.1852     0.1389     27        
Resource Abuse                           0.0541     0.1333     0.0769     30        
Goal Deviation                           0.6538     0.5075     0.5714     67        
Task Orchestration                       0.3333     0.2308     0.2727     39        
