Weighted F1: 0.0931
Average Location Accuracy: 0.0240
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                       -0.3416          0.4534 7         
security                              nan             nan 7         
instruction_adherence             -0.6233          0.1348 7         
plan_optimization                  0.0650          0.8899 7         
overall                           -0.4354          0.3289 7         

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.2500     0.2500     0.2500     4         
Poor Information Retrieval               0.5000     0.0909     0.1538     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        0.6667     0.0556     0.1026     36        
Instruction Non-compliance               0.3333     0.0294     0.0541     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                1.0000     0.0312     0.0606     32        
Resource Abuse                           0.5714     0.2353     0.3333     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
