Weighted F1: 0.1611
Average Location Accuracy: 0.0513
Average Location-Category Joint Accuracy: 0.0151

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6532          0.0000 86        
security                              nan             nan 86        
instruction_adherence              0.2749          0.0104 86        
plan_optimization                  0.3789          0.0003 85        
overall                            0.5780          0.0000 85        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4444     0.4762     0.4598     42        
Tool-related                             0.7143     0.1351     0.2273     37        
Poor Information Retrieval               0.0833     0.0455     0.0588     22        
Tool Output Misinterpretation            1.0000     0.0588     0.1111     17        
Incorrect Problem Identification         0.5000     0.0500     0.0909     20        
Tool Selection Errors                    0.3846     0.3750     0.3797     40        
Formatting Errors                        0.6667     0.0385     0.0727     52        
Instruction Non-compliance               1.0000     0.0364     0.0702     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.6667     0.2222     0.3333     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.2500     0.2500     0.2500     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.4000     0.1333     0.2000     30        
Goal Deviation                           0.4167     0.0746     0.1266     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
