Weighted F1: 0.0545
Average Location Accuracy: 0.0000
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3798          0.1326 17        
security                              nan             nan 17        
instruction_adherence             -0.1007          0.7005 17        
plan_optimization                  0.1154          0.6592 17        
overall                            0.2982          0.2450 17        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.0000     0.0000     0.0000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        1.0000     0.0833     0.1538     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                1.0000     0.0312     0.0606     32        
Resource Abuse                           0.5000     0.0588     0.1053     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
