Weighted F1: 0.2703
Average Location Accuracy: 0.0211
Average Location-Category Joint Accuracy: 0.0031

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5254          0.0209 19        
security                              nan             nan 19        
instruction_adherence             -0.1439          0.5567 19        
plan_optimization                  0.2279          0.3480 19        
overall                            0.1820          0.4559 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            1.0000     0.0714     0.1333     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.2500     0.0909     0.1333     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.1429     1.0000     0.2500     1         
Incorrect Problem Identification         1.0000     0.2222     0.3636     9         
Formatting Errors                        0.8182     0.2500     0.3830     36        
Instruction Non-compliance               0.8235     0.4118     0.5490     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.5000     0.2353     0.3200     17        
Goal Deviation                           0.5000     0.3333     0.4000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
