Weighted F1: 0.1622
Average Location Accuracy: 0.0772
Average Location-Category Joint Accuracy: 0.0248

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6224          0.0000 86        
security                              nan             nan 86        
instruction_adherence              0.2872          0.0073 86        
plan_optimization                  0.4162          0.0001 84        
overall                            0.5458          0.0000 85        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4048     0.4048     0.4048     42        
Tool-related                             0.0000     0.0000     0.0000     37        
Poor Information Retrieval               0.1667     0.0909     0.1176     22        
Tool Output Misinterpretation            0.2000     0.0588     0.0909     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.4048     0.4250     0.4146     40        
Formatting Errors                        0.6000     0.0577     0.1053     52        
Instruction Non-compliance               0.0000     0.0000     0.0000     55        
Tool Definition Issues                   0.2857     0.6667     0.4000     3         
Environment Setup Errors                 0.4000     0.2222     0.2857     9         
Authentication Errors                    1.0000     0.1667     0.2857     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.5000     0.2500     0.3333     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.6667     1.0000     0.8000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.2857     0.0667     0.1081     30        
Goal Deviation                           0.8235     0.2090     0.3333     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
