Weighted F1: 0.2339
Average Location Accuracy: 0.0036
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5985          0.0087 18        
security                              nan             nan 18        
instruction_adherence              0.2959          0.2332 18        
plan_optimization                  0.4421          0.0662 18        
overall                            0.3074          0.2147 18        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.3333     0.1818     0.2353     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.3125     0.5556     0.4000     9         
Formatting Errors                        0.8125     0.3611     0.5000     36        
Instruction Non-compliance               0.7143     0.1471     0.2439     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.5455     0.3529     0.4286     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
