Weighted F1: 0.2395
Average Location Accuracy: 0.1136
Average Location-Category Joint Accuracy: 0.0572

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3914          0.0002 87        
security                              nan             nan 87        
instruction_adherence              0.0154          0.8872 87        
plan_optimization                  0.3131          0.0031 87        
overall                            0.2419          0.0240 87        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5000     0.0952     0.1600     42        
Tool-related                             0.3492     0.5946     0.4400     37        
Poor Information Retrieval               0.0909     0.0455     0.0606     22        
Tool Output Misinterpretation            0.3333     0.0588     0.1000     17        
Incorrect Problem Identification         0.1224     0.3000     0.1739     20        
Tool Selection Errors                    0.3571     0.3750     0.3659     40        
Formatting Errors                        0.2941     0.1923     0.2326     52        
Instruction Non-compliance               0.5556     0.5455     0.5505     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.2000     0.2500     0.2222     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.1176     0.1333     0.1250     30        
Goal Deviation                           0.8000     0.1791     0.2927     67        
Task Orchestration                       0.5000     0.0256     0.0488     39        
