Weighted F1: 0.1249
Average Location Accuracy: 0.0723
Average Location-Category Joint Accuracy: 0.0060

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6172          0.0000 89        
security                              nan             nan 89        
instruction_adherence              0.3661          0.0004 89        
plan_optimization                  0.5305          0.0000 89        
overall                            0.5723          0.0000 89        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5000     0.1190     0.1923     42        
Tool-related                             0.5000     0.0811     0.1395     37        
Poor Information Retrieval               0.5000     0.0455     0.0833     22        
Tool Output Misinterpretation            0.1111     0.0588     0.0769     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.4468     0.5250     0.4828     40        
Formatting Errors                        0.3333     0.0769     0.1250     52        
Instruction Non-compliance               0.3571     0.0909     0.1449     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.2667     0.1333     0.1778     30        
Goal Deviation                           1.0000     0.0149     0.0294     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
