Weighted F1: 0.1830
Average Location Accuracy: 0.0825
Average Location-Category Joint Accuracy: 0.0127

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1719          0.1072 89        
security                              nan             nan 89        
instruction_adherence              0.1400          0.1907 89        
plan_optimization                  0.0537          0.6173 89        
overall                            0.1350          0.2072 89        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4615     0.4286     0.4444     42        
Tool-related                             1.0000     0.0270     0.0526     37        
Poor Information Retrieval               0.3333     0.1364     0.1935     22        
Tool Output Misinterpretation            0.1724     0.2941     0.2174     17        
Incorrect Problem Identification         0.0882     0.3000     0.1364     20        
Tool Selection Errors                    0.3708     0.8250     0.5116     40        
Formatting Errors                        0.2308     0.1154     0.1538     52        
Instruction Non-compliance               0.5217     0.2182     0.3077     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0889     0.1333     0.1067     30        
Goal Deviation                           0.5714     0.0597     0.1081     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
