Weighted F1: 0.2116
Average Location Accuracy: 0.0042
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.7060          0.0007 19        
security                              nan             nan 19        
instruction_adherence              0.1297          0.5968 19        
plan_optimization                  0.4977          0.0301 19        
overall                            0.4369          0.0614 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.2857     0.1818     0.2222     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.1429     0.1111     0.1250     9         
Formatting Errors                        0.5714     0.1111     0.1860     36        
Instruction Non-compliance               0.8000     0.2353     0.3636     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.7500     0.0938     0.1667     32        
Resource Abuse                           0.4706     0.4706     0.4706     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
